Warehouse,Shipment,Calls,Category_Calls,Rating,Satisfactions,Cost,Purchase,Category_Purchase,Importance,Gender,Discount,Category_Discount,Weight,Category_Weight,Late
F,Ship,4,2 - 4 (Rendah),5,satisfied,153,3,Seldom,high,F,3,0 - 3 (Low),1347,1333 - 4149 (Medium),1
A,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,175,5,Often,medium,F,64,> 7 (High),1860,1333 - 4149 (Medium),1
B,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,207,2,Seldom,low,F,35,> 7 (High),2184,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,153,2,Seldom,low,F,6,4 - 7 (Medium),1314,0 - 1332 (Small),1
F,Ship,3,2 - 4 (Rendah),4,satisfied,228,2,Seldom,medium,M,65,> 7 (High),3943,1333 - 4149 (Medium),1
D,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,96,2,Seldom,low,F,50,> 7 (High),1186,0 - 1332 (Small),1
F,Ship,4,2 - 4 (Rendah),4,satisfied,241,3,Seldom,high,M,39,> 7 (High),3798,1333 - 4149 (Medium),1
A,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,249,5,Often,high,F,28,> 7 (High),2846,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,188,5,Often,low,M,25,> 7 (High),3992,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,154,2,Seldom,high,F,4,4 - 7 (Medium),1009,0 - 1332 (Small),1
F,Ship,4,2 - 4 (Rendah),4,satisfied,226,2,Seldom,high,M,53,> 7 (High),3154,1333 - 4149 (Medium),1
D,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,250,2,Seldom,low,F,14,> 7 (High),2064,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,150,2,Seldom,medium,F,46,> 7 (High),1431,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),5,satisfied,267,2,Seldom,low,F,16,> 7 (High),2913,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,223,3,Seldom,low,M,35,> 7 (High),2715,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),5,satisfied,192,3,Seldom,medium,F,41,> 7 (High),3873,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,143,3,Seldom,low,F,58,> 7 (High),1785,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),5,satisfied,113,2,Seldom,low,F,19,> 7 (High),1660,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,135,3,Seldom,medium,M,39,> 7 (High),1549,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),4,satisfied,189,4,Often,high,F,56,> 7 (High),2646,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,245,3,Seldom,medium,M,13,> 7 (High),3775,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),5,satisfied,181,2,Seldom,low,M,29,> 7 (High),2217,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,207,2,Seldom,medium,F,37,> 7 (High),2460,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,169,2,Seldom,medium,F,19,> 7 (High),1183,0 - 1332 (Small),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,206,3,Seldom,low,F,65,> 7 (High),2598,1333 - 4149 (Medium),1
A,Ship,2,2 - 4 (Rendah),5,satisfied,117,3,Seldom,low,M,44,> 7 (High),1192,0 - 1332 (Small),1
B,Road,2,2 - 4 (Rendah),1,neutral or dissatisfied,115,3,Seldom,high,M,42,> 7 (High),1247,0 - 1332 (Small),1
C,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,149,3,Seldom,low,F,63,> 7 (High),1196,0 - 1332 (Small),1
F,Road,4,2 - 4 (Rendah),5,satisfied,133,3,Seldom,medium,M,3,0 - 3 (Low),1403,1333 - 4149 (Medium),1
D,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,271,2,Seldom,medium,M,22,> 7 (High),2595,1333 - 4149 (Medium),1
F,Road,2,2 - 4 (Rendah),5,satisfied,116,3,Seldom,low,F,3,0 - 3 (Low),1688,1333 - 4149 (Medium),1
A,Road,3,2 - 4 (Rendah),5,satisfied,139,2,Seldom,medium,M,64,> 7 (High),1857,1333 - 4149 (Medium),1
B,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,216,3,Seldom,medium,M,35,> 7 (High),2567,1333 - 4149 (Medium),1
C,Road,3,2 - 4 (Rendah),5,satisfied,165,2,Seldom,high,F,37,> 7 (High),1234,0 - 1332 (Small),1
F,Road,6,> 4 (Tinggi),5,satisfied,286,4,Often,low,F,31,> 7 (High),3774,1333 - 4149 (Medium),1
D,Road,5,> 4 (Tinggi),3,neutral or dissatisfied,136,3,Seldom,medium,F,13,> 7 (High),1446,1333 - 4149 (Medium),1
F,Road,4,2 - 4 (Rendah),5,satisfied,225,4,Often,low,M,48,> 7 (High),2767,1333 - 4149 (Medium),1
A,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,163,3,Seldom,low,F,27,> 7 (High),1639,1333 - 4149 (Medium),1
B,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,272,4,Often,low,M,61,> 7 (High),2857,1333 - 4149 (Medium),1
C,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,135,2,Seldom,high,M,24,> 7 (High),1292,0 - 1332 (Small),1
F,Road,4,2 - 4 (Rendah),5,satisfied,184,3,Seldom,low,F,64,> 7 (High),3812,1333 - 4149 (Medium),1
D,Road,4,2 - 4 (Rendah),5,satisfied,219,2,Seldom,medium,F,28,> 7 (High),2164,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,249,2,Seldom,medium,M,53,> 7 (High),2323,1333 - 4149 (Medium),1
A,Road,2,2 - 4 (Rendah),3,neutral or dissatisfied,142,3,Seldom,low,F,46,> 7 (High),1694,1333 - 4149 (Medium),1
B,Road,5,> 4 (Tinggi),2,neutral or dissatisfied,137,3,Seldom,medium,M,47,> 7 (High),1023,0 - 1332 (Small),1
C,Road,2,2 - 4 (Rendah),5,satisfied,168,3,Seldom,low,M,37,> 7 (High),1717,1333 - 4149 (Medium),1
F,Road,5,> 4 (Tinggi),5,satisfied,165,3,Seldom,medium,F,32,> 7 (High),1798,1333 - 4149 (Medium),1
D,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,199,2,Seldom,low,M,4,4 - 7 (Medium),3553,1333 - 4149 (Medium),1
F,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,246,3,Seldom,low,M,27,> 7 (High),3648,1333 - 4149 (Medium),1
A,Flight,5,> 4 (Tinggi),2,neutral or dissatisfied,224,4,Often,medium,M,43,> 7 (High),2336,1333 - 4149 (Medium),1
B,Flight,5,> 4 (Tinggi),5,satisfied,216,6,Often,low,M,54,> 7 (High),2075,1333 - 4149 (Medium),1
C,Flight,5,> 4 (Tinggi),3,neutral or dissatisfied,167,2,Seldom,low,M,3,0 - 3 (Low),1140,0 - 1332 (Small),1
F,Flight,4,2 - 4 (Rendah),2,neutral or dissatisfied,182,3,Seldom,medium,M,14,> 7 (High),3413,1333 - 4149 (Medium),1
D,Flight,6,> 4 (Tinggi),1,neutral or dissatisfied,126,3,Seldom,medium,F,37,> 7 (High),1697,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,170,3,Seldom,medium,F,48,> 7 (High),1299,0 - 1332 (Small),1
A,Flight,4,2 - 4 (Rendah),2,neutral or dissatisfied,148,3,Seldom,medium,M,2,0 - 3 (Low),1805,1333 - 4149 (Medium),1
B,Flight,4,2 - 4 (Rendah),2,neutral or dissatisfied,141,3,Seldom,medium,M,61,> 7 (High),1875,1333 - 4149 (Medium),1
C,Flight,5,> 4 (Tinggi),5,satisfied,169,2,Seldom,medium,F,14,> 7 (High),1497,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),2,neutral or dissatisfied,143,3,Seldom,medium,M,12,> 7 (High),1802,1333 - 4149 (Medium),1
D,Flight,4,2 - 4 (Rendah),5,satisfied,156,3,Seldom,low,F,60,> 7 (High),1553,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,241,4,Often,medium,F,19,> 7 (High),2193,1333 - 4149 (Medium),1
A,Flight,3,2 - 4 (Rendah),4,satisfied,212,3,Seldom,medium,F,13,> 7 (High),2307,1333 - 4149 (Medium),1
B,Flight,5,> 4 (Tinggi),3,neutral or dissatisfied,265,3,Seldom,medium,M,30,> 7 (High),2293,1333 - 4149 (Medium),1
C,Flight,3,2 - 4 (Rendah),4,satisfied,243,3,Seldom,low,F,60,> 7 (High),2980,1333 - 4149 (Medium),1
F,Flight,5,> 4 (Tinggi),2,neutral or dissatisfied,209,4,Often,medium,M,15,> 7 (High),3330,1333 - 4149 (Medium),1
D,Flight,4,2 - 4 (Rendah),5,satisfied,229,3,Seldom,medium,M,21,> 7 (High),2688,1333 - 4149 (Medium),1
F,Flight,3,2 - 4 (Rendah),1,neutral or dissatisfied,257,2,Seldom,low,F,45,> 7 (High),3496,1333 - 4149 (Medium),1
A,Flight,5,> 4 (Tinggi),5,satisfied,209,3,Seldom,low,M,49,> 7 (High),3893,1333 - 4149 (Medium),1
B,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,142,3,Seldom,medium,M,23,> 7 (High),1897,1333 - 4149 (Medium),1
C,Flight,3,2 - 4 (Rendah),5,satisfied,208,4,Often,medium,M,12,> 7 (High),3181,1333 - 4149 (Medium),1
F,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,167,6,Often,low,F,15,> 7 (High),1278,0 - 1332 (Small),1
D,Ship,3,2 - 4 (Rendah),5,satisfied,266,3,Seldom,medium,M,16,> 7 (High),2334,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,210,2,Seldom,medium,M,44,> 7 (High),3382,1333 - 4149 (Medium),1
A,Ship,2,2 - 4 (Rendah),2,neutral or dissatisfied,147,2,Seldom,medium,F,49,> 7 (High),1447,1333 - 4149 (Medium),1
B,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,132,2,Seldom,medium,M,8,> 7 (High),1665,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),4,satisfied,269,3,Seldom,medium,F,21,> 7 (High),3716,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,148,3,Seldom,medium,F,48,> 7 (High),1099,0 - 1332 (Small),1
D,Ship,4,2 - 4 (Rendah),5,satisfied,268,2,Seldom,high,M,32,> 7 (High),3675,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,156,2,Seldom,low,F,43,> 7 (High),1301,0 - 1332 (Small),1
A,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,222,4,Often,low,M,63,> 7 (High),3506,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),5,satisfied,151,3,Seldom,high,F,31,> 7 (High),1365,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,236,3,Seldom,low,F,28,> 7 (High),3652,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,229,3,Seldom,medium,F,12,> 7 (High),3049,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,261,3,Seldom,low,M,42,> 7 (High),2664,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,229,4,Often,low,M,6,4 - 7 (Medium),3757,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),5,satisfied,205,3,Seldom,low,F,60,> 7 (High),2317,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),4,satisfied,240,2,Seldom,low,M,8,> 7 (High),3883,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,209,6,Often,low,F,59,> 7 (High),2622,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,252,2,Seldom,low,M,35,> 7 (High),2526,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),4,satisfied,140,2,Seldom,medium,M,48,> 7 (High),1102,0 - 1332 (Small),1
F,Ship,5,> 4 (Tinggi),4,satisfied,156,2,Seldom,low,F,57,> 7 (High),1842,1333 - 4149 (Medium),1
A,Ship,2,2 - 4 (Rendah),2,neutral or dissatisfied,190,8,Often,medium,M,33,> 7 (High),3448,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),4,satisfied,138,6,Often,medium,M,5,4 - 7 (Medium),1853,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),4,satisfied,243,3,Seldom,low,F,35,> 7 (High),2899,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,183,2,Seldom,low,M,58,> 7 (High),3027,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),5,satisfied,190,10,Often,medium,M,26,> 7 (High),3244,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,235,2,Seldom,low,M,27,> 7 (High),2451,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,143,6,Often,medium,M,63,> 7 (High),1953,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,176,2,Seldom,medium,F,45,> 7 (High),1470,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),5,satisfied,178,3,Seldom,low,F,39,> 7 (High),1498,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,270,2,Seldom,medium,F,59,> 7 (High),3706,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),4,satisfied,141,2,Seldom,low,M,7,4 - 7 (Medium),1479,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,220,3,Seldom,medium,M,8,> 7 (High),3342,1333 - 4149 (Medium),1
A,Ship,5,> 4 (Tinggi),5,satisfied,264,3,Seldom,medium,F,56,> 7 (High),3482,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),5,satisfied,150,2,Seldom,low,F,48,> 7 (High),1256,0 - 1332 (Small),1
C,Ship,3,2 - 4 (Rendah),4,satisfied,175,3,Seldom,medium,M,4,4 - 7 (Medium),1519,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),4,satisfied,223,3,Seldom,medium,F,19,> 7 (High),3356,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),4,satisfied,162,10,Often,high,M,12,> 7 (High),1583,1333 - 4149 (Medium),1
F,Ship,6,> 4 (Tinggi),4,satisfied,221,10,Often,medium,M,42,> 7 (High),2972,1333 - 4149 (Medium),1
A,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,216,3,Seldom,low,M,40,> 7 (High),2668,1333 - 4149 (Medium),1
B,Ship,5,> 4 (Tinggi),5,satisfied,133,10,Often,medium,M,9,> 7 (High),1724,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,191,3,Seldom,high,M,3,0 - 3 (Low),2353,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,156,3,Seldom,low,M,39,> 7 (High),1483,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,252,3,Seldom,medium,F,30,> 7 (High),2669,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,198,3,Seldom,low,M,2,0 - 3 (Low),3417,1333 - 4149 (Medium),1
A,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,139,8,Often,medium,M,21,> 7 (High),1033,0 - 1332 (Small),1
B,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,255,3,Seldom,low,M,19,> 7 (High),1551,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,141,2,Seldom,low,F,23,> 7 (High),1689,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,151,3,Seldom,high,F,39,> 7 (High),1458,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),5,satisfied,236,3,Seldom,low,F,54,> 7 (High),3976,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),4,satisfied,229,3,Seldom,medium,F,46,> 7 (High),3223,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,261,3,Seldom,low,F,6,4 - 7 (Medium),2787,1333 - 4149 (Medium),1
B,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,229,4,Often,low,F,11,> 7 (High),3614,1333 - 4149 (Medium),1
C,Ship,4,2 - 4 (Rendah),4,satisfied,205,3,Seldom,low,F,58,> 7 (High),2522,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),4,satisfied,240,2,Seldom,low,F,33,> 7 (High),3489,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),4,satisfied,209,6,Often,low,M,62,> 7 (High),3532,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),5,satisfied,252,2,Seldom,low,F,21,> 7 (High),2070,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,140,2,Seldom,medium,F,30,> 7 (High),1547,1333 - 4149 (Medium),1
B,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,156,2,Seldom,low,M,1,0 - 3 (Low),1147,0 - 1332 (Small),1
C,Ship,2,2 - 4 (Rendah),5,satisfied,190,8,Often,medium,M,11,> 7 (High),2976,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,138,6,Often,medium,M,49,> 7 (High),1078,0 - 1332 (Small),1
D,Ship,5,> 4 (Tinggi),4,satisfied,243,3,Seldom,low,F,43,> 7 (High),2866,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,183,2,Seldom,low,F,10,> 7 (High),2621,1333 - 4149 (Medium),1
A,Ship,3,2 - 4 (Rendah),5,satisfied,190,10,Often,medium,M,32,> 7 (High),2931,1333 - 4149 (Medium),1
B,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,235,2,Seldom,low,F,61,> 7 (High),3451,1333 - 4149 (Medium),1
C,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,143,6,Often,medium,M,2,0 - 3 (Low),1323,0 - 1332 (Small),1
F,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,176,2,Seldom,medium,M,34,> 7 (High),1856,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,178,3,Seldom,low,F,11,> 7 (High),1481,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,270,2,Seldom,medium,F,46,> 7 (High),2716,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,141,2,Seldom,low,M,10,> 7 (High),1340,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),5,satisfied,220,3,Seldom,medium,F,63,> 7 (High),3109,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),5,satisfied,264,3,Seldom,medium,F,23,> 7 (High),2837,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,150,2,Seldom,low,M,29,> 7 (High),1934,1333 - 4149 (Medium),1
D,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,175,3,Seldom,medium,F,32,> 7 (High),1848,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),5,satisfied,223,3,Seldom,medium,M,35,> 7 (High),3437,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,162,10,Often,high,M,25,> 7 (High),1764,1333 - 4149 (Medium),1
B,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,221,10,Often,medium,F,13,> 7 (High),2219,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),5,satisfied,216,3,Seldom,low,F,5,4 - 7 (Medium),3137,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,133,10,Often,medium,M,53,> 7 (High),1674,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,191,3,Seldom,high,F,45,> 7 (High),3714,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,156,3,Seldom,low,F,33,> 7 (High),1836,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,252,3,Seldom,medium,F,43,> 7 (High),3273,1333 - 4149 (Medium),1
B,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,198,3,Seldom,low,M,15,> 7 (High),3250,1333 - 4149 (Medium),1
C,Ship,2,2 - 4 (Rendah),4,satisfied,139,8,Often,medium,F,62,> 7 (High),1180,0 - 1332 (Small),1
F,Ship,2,2 - 4 (Rendah),4,satisfied,255,3,Seldom,low,F,55,> 7 (High),1663,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,141,2,Seldom,low,F,8,> 7 (High),1495,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,263,2,Seldom,medium,F,63,> 7 (High),1254,0 - 1332 (Small),1
A,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,179,3,Seldom,medium,F,41,> 7 (High),1892,1333 - 4149 (Medium),1
B,Ship,4,2 - 4 (Rendah),5,satisfied,212,4,Often,low,M,21,> 7 (High),1014,0 - 1332 (Small),1
C,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,282,5,Often,low,F,51,> 7 (High),1362,1333 - 4149 (Medium),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,165,3,Seldom,medium,M,33,> 7 (High),1500,1333 - 4149 (Medium),1
D,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,189,2,Seldom,medium,F,63,> 7 (High),3474,1333 - 4149 (Medium),1
F,Ship,5,> 4 (Tinggi),5,satisfied,157,4,Often,medium,M,60,> 7 (High),1407,1333 - 4149 (Medium),1
A,Road,3,2 - 4 (Rendah),4,satisfied,167,3,Seldom,low,M,14,> 7 (High),1420,1333 - 4149 (Medium),1
B,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,175,2,Seldom,low,M,42,> 7 (High),1668,1333 - 4149 (Medium),1
C,Road,3,2 - 4 (Rendah),4,satisfied,150,2,Seldom,medium,M,64,> 7 (High),1777,1333 - 4149 (Medium),1
F,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,128,5,Often,low,F,28,> 7 (High),1247,0 - 1332 (Small),1
D,Road,5,> 4 (Tinggi),2,neutral or dissatisfied,236,2,Seldom,low,M,24,> 7 (High),3679,1333 - 4149 (Medium),1
F,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,162,2,Seldom,medium,F,58,> 7 (High),1708,1333 - 4149 (Medium),1
A,Road,5,> 4 (Tinggi),4,satisfied,230,2,Seldom,medium,F,48,> 7 (High),3743,1333 - 4149 (Medium),1
B,Road,5,> 4 (Tinggi),3,neutral or dissatisfied,225,4,Often,low,F,60,> 7 (High),2130,1333 - 4149 (Medium),1
C,Road,2,2 - 4 (Rendah),2,neutral or dissatisfied,285,2,Seldom,medium,F,16,> 7 (High),2223,1333 - 4149 (Medium),1
F,Road,4,2 - 4 (Rendah),5,satisfied,246,2,Seldom,medium,M,31,> 7 (High),2415,1333 - 4149 (Medium),1
D,Road,4,2 - 4 (Rendah),4,satisfied,196,2,Seldom,low,F,6,4 - 7 (Medium),2718,1333 - 4149 (Medium),1
F,Road,5,> 4 (Tinggi),4,satisfied,211,6,Often,low,M,33,> 7 (High),3955,1333 - 4149 (Medium),1
A,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,197,2,Seldom,low,M,4,4 - 7 (Medium),3621,1333 - 4149 (Medium),1
B,Road,5,> 4 (Tinggi),3,neutral or dissatisfied,203,2,Seldom,low,F,37,> 7 (High),3531,1333 - 4149 (Medium),1
C,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,161,3,Seldom,medium,F,10,> 7 (High),1928,1333 - 4149 (Medium),1
F,Road,5,> 4 (Tinggi),5,satisfied,266,4,Often,medium,M,62,> 7 (High),2201,1333 - 4149 (Medium),1
D,Road,4,2 - 4 (Rendah),1,neutral or dissatisfied,190,3,Seldom,low,F,32,> 7 (High),2774,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),2,neutral or dissatisfied,140,3,Seldom,low,F,42,> 7 (High),1465,1333 - 4149 (Medium),1
A,Road,4,2 - 4 (Rendah),1,neutral or dissatisfied,274,4,Often,medium,M,61,> 7 (High),3402,1333 - 4149 (Medium),1
B,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,168,3,Seldom,low,M,59,> 7 (High),1717,1333 - 4149 (Medium),1
C,Road,3,2 - 4 (Rendah),5,satisfied,189,3,Seldom,low,F,61,> 7 (High),2203,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),2,neutral or dissatisfied,231,3,Seldom,low,F,56,> 7 (High),2714,1333 - 4149 (Medium),1
D,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,189,3,Seldom,medium,F,14,> 7 (High),3318,1333 - 4149 (Medium),1
F,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,220,2,Seldom,medium,M,38,> 7 (High),2368,1333 - 4149 (Medium),1
A,Flight,5,> 4 (Tinggi),4,satisfied,190,2,Seldom,medium,F,23,> 7 (High),3960,1333 - 4149 (Medium),1
B,Flight,4,2 - 4 (Rendah),2,neutral or dissatisfied,238,3,Seldom,low,M,30,> 7 (High),3423,1333 - 4149 (Medium),1
C,Flight,4,2 - 4 (Rendah),4,satisfied,220,2,Seldom,medium,F,33,> 7 (High),2897,1333 - 4149 (Medium),1
F,Flight,4,2 - 4 (Rendah),5,satisfied,194,2,Seldom,high,M,44,> 7 (High),2651,1333 - 4149 (Medium),1
D,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,203,3,Seldom,medium,M,29,> 7 (High),3261,1333 - 4149 (Medium),1
F,Flight,3,2 - 4 (Rendah),5,satisfied,258,3,Seldom,low,M,21,> 7 (High),3446,1333 - 4149 (Medium),1
A,Flight,3,2 - 4 (Rendah),5,satisfied,151,3,Seldom,low,M,3,0 - 3 (Low),1273,0 - 1332 (Small),1
B,Flight,3,2 - 4 (Rendah),2,neutral or dissatisfied,218,3,Seldom,medium,F,52,> 7 (High),2149,1333 - 4149 (Medium),1
C,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,265,3,Seldom,medium,M,6,4 - 7 (Medium),2452,1333 - 4149 (Medium),1
F,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,157,3,Seldom,medium,M,31,> 7 (High),1712,1333 - 4149 (Medium),1
D,Flight,4,2 - 4 (Rendah),2,neutral or dissatisfied,214,3,Seldom,medium,F,20,> 7 (High),2009,1333 - 4149 (Medium),1
